group,action,base_cost,base_cost_max,description,max_per_week
Contracts,Supply contract,1,,"Choose a new supply contract. If another stable has this contract, add it immediately. Otherwise roll to make contract.",1
Contracts,Second Supply contract,2,,"Choose a new yellow or red supply contract. If another stable has this contract, add it immediately. Otherwise roll to make contract.",1
Contracts,Yellow Supply Contract,1,,Choose a new yellow supply contract that another stable already has.,1
Contracts,Black Tech proposal,4,,"Propose a new black tech to research. Outline details of the technology to the group and they have to bring back feedback on grounds to balance the equipment. At the beginning of the next week, use the First supply contract to buy the tech unless two players specifically object to it.",1
Legal,Legal Stable Investments,1,,Invest in a rival stable's prosperity. Take 2d6% of their winnings for the week.,1
Legal,Legal League Investments,1,,Invest in all the prosperity of the league. Take 1d6+1% of everyone elses winnings for the week.,1
Legal,Criminal Court defence,1,,Give extra aid to defending a pilot on criminal charges.,1
Management,Training Camp,1,,Send a Star or Champion to a training camp for the broadcast week. He may not fight this week but gains up to half the training points of the Contenders next broadcast week.,1
Management,Expanded Management,1,,Add 6 more slots for Mechs and Pilots in stable.,1
Management,Exploded Management,2,,Add 9 more slots for Mechs and Pilots in the stable.,1
Management,Training Camp Partner,2,,Send a second Star or Champion to a training camp for the broadcast week. He may not fight this week but gains up to the other half of the training points of the Rookie's pool next broadcast week.,1
Management,Under New Management,4,,"This is a special action that can rarely be taken. Any stable can take it once, to change the faction allegiance of the stable for preference of the Stable player. An exception to taking it once, is if a new pilot becomes a champion of the stable, who is not of the stables current faction. His new position can be leveraged to change allegiance of the stable. This change comes the a change of training skill sets, and a change in faction Mech list. If taken just to refine Player preference, A new name must be taken, and while most details are unchanged, this results in the loss of the Honoured Dead roster.",1
Medical,Health Spa,1,,"Select a pilot and allocate them to a health spa for the broadcast week. They may not be fielded, but heal 3 wounds, or one wound and a black mark.",1
Medical,Health Spa Partner,2,,"Select a pilot and allocate them to a health spa for the broadcast week. They may not be fielded, but heal 3 wounds, or one wound and a black mark.",1
Medical,Surgery,2,,Pick a pilot and roll 2d6 on the surgery table to heal wounds and black marks.,1
Medical,Back Alley Surgery,2,,Pick a pilot and roll 2d6-3 on the surgery table to heal wounds and black marks.,1
Modification,Omnimech config,2,,Create from scratch a new config for an omnimech in the stable. Pay for components,1
Modification,Modify Mech,1,,Modify up to two locations on a Mech. Pay for components. Roll for balancing.,1
Modification,Modify another mech,2,,Modify up to two locations on a Mech. Pay for components. Roll for balancing.,1
Modification,Overhaul mech,2,,Modify a mech on up to every location. Roll for balancing. Pay the cost of all equipment added as if damage repair. Can be used specifically to Overhaul the base frame to add 5,1
Publicity,A new Star Rises,1,,"Spend 250,000 C-Bills and raise one pilot from contender to Star. ",1
Publicity,Cushion a falling star,2,,"When forced to reduce a star to contender, add 2 to target number to avoid the star leaving the stable. (1d6 needs a 6 instead of 4+)",1
Publicity,Game show,1,,"Allocate a pilot to a reality TV show. The pilot may not be fielded this broadcast week in a fight, however his appearance gives 12 Pop for the week to the pilot. If multiple stables do this action, they are on the same show, however the highest ranking pilots over shadow the lower, so if you are not the highest ranking pilot on the show, drop to 8 Pop. For each of the highest ranking pilots on the show after the first, add +2 pop.",1
Publicity,Advertising,1,,"All Network and League Fights get +2 on pop, and Championship fights get +4 on pop.",1
Publicity,Publicity Blitz,2,,"All Network, League, and Minor League fights get + 3 on pop, and Championship fights get +5 on Pop.",1
Publicity,Advertising league,6,,"Releasing advertising for this league bumps the stables of the league, well maybe yours got more images and oops did we forget one. Pick one stable to exclude and give all other stables 1 permanent advertising bump to prominence and give two bonus to your prominence to your stable this week. May not be bought week 12.",1
Purchase,Buy New Mech,1,,Purchase a Mech of any design you have the tech contracts for. It arrives next broadcasst week if it is from your faction list. Otherwise it arrives in three broadcast weeks.,1
Purchase,Buy New Mech Fast,4,,Purchase a Mech of any design you have the tech contracts for. It arrives now if it is from your faction list. Otherwise it arrives next broadcast week.,1
Purchase,Buy Battlearmour Squad,1,,Purchase a new battlearmour unit type for one of your battle armour squads. Pay for the cost of suits to number of troops in Battle Armour Pilot squad (4,1
Purchase,Buy Anothers Battlearmour Squad,1,,Purchase a new battlearmour unit another stable has fielded. Pay for the cost of suits to number of troops in Battle Armour Pilot squad (4,1
Purchase,Omnipod,1,,Purchase the parts to create a standard config of an Omnimech your stable owns.,1
Purchase,More Omnipods,1,,Purchase the parts to create a standard config of an Omnimech your stable owns.,1
