Discipline,Table ,Item,BV Mod,Skill,Description,
Piloting,1-3,1,0.05,Catfall,"Catfall pilots have the knack to keep some control when others completely lose it. When the Mech falls, whether by failed PSR, falling elevation, or failed Gyro/missing leg, the Catfall pilot is allowed to choose the direction of the fall, takes only half damage to the Mech for the fall, and gets +2 on his roll to not hurt the pilot.",
Piloting,1-3,2,0.05,Dodge,"The Dodge skill allows the pilot to withhold physical attacks by his unit, to make it harder to be hit by them. A penalty of 4 applies to attack roll of physical attackers against a dodging Mech",
Piloting,1-3,3,0.2,Acrobat,The acrobat gains +1 jump movement point. Only applies to Mechs with jump movement rates and costs 1 extra heat.,
Piloting,1-3,4,0.2,Natural Grace,"While some pilots can keep their rides 'stable', you make yours dance. +1 Piloting roll against knock down, physical attacks, skidding, water, avoid pilot damage from falling, and entering rouble terrain. You gain +1 run movement like a vehicle on roads. You can run backwards. Finally, on entering an arena make a pilot check unmodified to make your Mech disco dance and gain +1 fame in fight.",
Piloting,1-3,5,0.05,Speed Demon,"This skill lets the pilot may add +1 to the current Mechs run speed. If used on a Mech with MASC or Supercharger, it acts as a further half walk movement to the Mechs run category. Also the target roll for Hip Seizing of MASC or Supercharger Engine burnout is one less with this pilot, but a double 1 always fails.",
Piloting,1-3,6,0.05,Manoeuvring Ace,"This skill lets the pilot of a bipedal Mech use the Side slip move of a quad Mech If used on a quad ‘Mech, Side slip only costs 1 mp. Also reduce by 1 difficulty for slip on roads",
Piloting,4-6,1,0.2,Jumping Jack,"If only a single weapon is fired after jumping, the attack is penalised one less on attack mods for the jump",
Piloting,4-6,2,0.05,Lucky Ducker,Ignore one head hit to the mech each fight.,
Piloting,4-6,3,0.05,Jack Rabbit,"During a run action, a mech can trigger its jump jets (3 heat) to leap over a single hex lower than the departing hex to a hex of equal level or one level down as if it was a run over a clear terrain hex.",
Piloting,4-6,4,0.05,Wetwalker,"This pilot works a mech underwater with rare grace. Treat as half depth for piloting and movement calculations, round up.",
Piloting,4-6,5,0.2,Hopper,"This pilot only suffers a -3 on piloting skill rolls for missing a leg, may roll to stay standing the round they lose the leg, and may hop at a run of 2MP on one leg. ",
Piloting,4-6,6,0.2,Excuse Me,"Spending normal movement cost +1, this pilot may roll a piloting skill roll (+1 for each weight category larger the occupant) and move through an occupied hex. Failure costs movement of entering hex but does not end movement.",
Combat,1-3,1,0.2,Melee Expert,"The Melee Expert may allocate a +1 easier to hit and to the damage of his physical attacks. If used to increase damage of a charge or DFA, it is added to base damage before multiplied for distance.",
Combat,1-3,2,0.05,Ammunition Pro,"The ammunition pro is able to get the most out of an ammunition bin, allowing his own Mech to link ammunition bins to increase combined capacity by an additional half ton of shots (and risking damage in ammo explosion). Also the stable is allowed to allocate half ton ammo bins to weapons other than the MG, after the first ton is won. Loss of the pilot with this power does not fail Mechs modified to use advanced ammunition in the modification.",
Combat,1-3,3,0.05,Toughness,"The pilot is especially tough and pain resistant, ignoring the first head hit and lowering ammunition explosion feedback to one pilot hit.",
Combat,1-3,4,0.05,Knock-down,"Any time this pilot causes a piloting skill roll for an enemy, it is one harder than normal.",
Combat,1-3,5,0.05,Steadfast,"Trained to hold it steady, this pilot skill forces piloting skill rolls for damage to be made in 30 point increments instead of 20.",
Combat,1-3,6,0.2,Melee Weapon Specialist,"The pilot has trained to use a type of physical weapon. Randomly determine a melee weapon (Punch, Kick, Hatchet, or more if the Stable has tech access to other physical weapons), and gain +2 to hit with this weapon.",
Combat,4-6,1,0.05,DIC,Pilot has an experimental Damage Interrupt Circuit which ignores pilot damage from ammunition explosions.,
Combat,4-6,2,0.2,Slugger,May use an improvised club with one hand instead of two once picked up.,
Combat,4-6,3,0.2,Kensai,"Randomly determine a single physical attack weapon, using that weapon this pilot counts as having a targeting computer, -1 easier to hit and able to make aimed shots. Ignores ECM. ",
Combat,4-6,4,0.05,Countermeasures,"This pilot has learned to use small pulse lasers and machine guns as rudimentary AMS systems. Such a weapon can be declared to target the first incoming missile volley in arc, apply the damage of the weapon as a negative to the cluster table roll. Works for any missile fired at a target within range of the weapon.",
Combat,4-6,5,0.05,LSSU,"This pilot owns a Life Support Stimulant Unit, which detects when he goes unconscious and injects wake up juice. These drugs put a strain on the pilot, counting as an extra hit each injection. Can be turned off in end phase.",
Combat,4-6,6,0.05,SLDF Combat Suit,Protective covering suit for the pilot. Calculated pressure gives -1 to unconsciousness checks of the pilot and protects against the first pilot hit. +1 pop for looking spiffy.,
